Row ID;Order ID;Order Date;Customer ID;Customer Name;Country;City;State;Postal Code;Region;Product ID;Category;Sub-Category;Product Name;Sales;Quantity;Discount;Profit
7981;CA-2011-103800;03/01/2023;DP-13000;Darren Powers;United States;Houston;Texas;77095;Central;OFF-PA-10000174;Office Supplies;Paper;"Message Book, Wirebound, Four 5 1/2"" X 4"" Forms/Pg., 200 Dupl. Sets/Book";16,448;2;0,2;5,5512
740;CA-2011-112326;04/01/2023;PO-19195;Phillina Ober;United States;Naperville;Illinois;60540;Central;OFF-LA-10003223;Office Supplies;Labels;Avery 508;11,784;3;0,2;4,2717
741;CA-2011-112326;04/01/2023;PO-19195;Phillina Ober;United States;Naperville;Illinois;60540;Central;OFF-ST-10002743;Office Supplies;Storage;SAFCO Boltless Steel Shelving;272,736;3;0,2;-64,7748
742;CA-2011-112326;04/01/2023;PO-19195;Phillina Ober;United States;Naperville;Illinois;60540;Central;OFF-BI-10004094;Office Supplies;Binders;GBC Standard Plastic Binding Systems Combs;3,54;2;0,8;-5,487
1760;CA-2011-141817;05/01/2023;MB-18085;Mick Brown;United States;Philadelphia;Pennsylvania;19143;East;OFF-AR-10003478;Office Supplies;Art;Avery Hi-Liter EverBold Pen Style Fluorescent Highlighters, 4/Pack;19,536;3;0,2;4,884
5328;CA-2011-130813;06/01/2023;LS-17230;Lycoris Saunders;United States;Los Angeles;California;90049;West;OFF-PA-10002005;Office Supplies;Paper;Xerox 225;19,44;3;0;9,3312
7181;CA-2011-106054;06/01/2023;JO-15145;Jack O'Briant;United States;Athens;Georgia;30605;South;OFF-AR-10002399;Office Supplies;Art;Dixon Prang Watercolor Pencils, 10-Color Set with Brush;12,78;3;0;5,2398
7475;CA-2011-167199;06/01/2023;ME-17320;Maria Etezadi;United States;Henderson;Kentucky;42420;South;FUR-CH-10004063;Furniture;Chairs;Global Deluxe High-Back Manager's Chair;2573,82;9;0;746,4078
7476;CA-2011-167199;06/01/2023;ME-17320;Maria Etezadi;United States;Henderson;Kentucky;42420;South;OFF-BI-10004632;Office Supplies;Binders;Ibico Hi-Tech Manual Binding System;609,98;2;0;274,491
7477;CA-2011-167199;06/01/2023;ME-17320;Maria Etezadi;United States;Henderson;Kentucky;42420;South;OFF-AR-10001662;Office Supplies;Art;Rogers Handheld Barrel Pencil Sharpener;5,48;2;0;1,4796
7478;CA-2011-167199;06/01/2023;ME-17320;Maria Etezadi;United States;Henderson;Kentucky;42420;South;TEC-PH-10004977;Technology;Phones;GE 30524EE4;391,98;2;0;113,6742
7479;CA-2011-167199;06/01/2023;ME-17320;Maria Etezadi;United States;Henderson;Kentucky;42420;South;TEC-PH-10004539;Technology;Phones;Wireless Extenders zBoost YX545 SOHO Signal Booster;755,96;4;0;204,1092
7480;CA-2011-167199;06/01/2023;ME-17320;Maria Etezadi;United States;Henderson;Kentucky;42420;South;OFF-FA-10001883;Office Supplies;Fasteners;Alliance Super-Size Bands, Assorted Sizes;31,12;4;0;0,3112
7481;CA-2011-167199;06/01/2023;ME-17320;Maria Etezadi;United States;Henderson;Kentucky;42420;South;OFF-PA-10000955;Office Supplies;Paper;Southworth 25% Cotton Granite Paper & Envelopes;6,54;1;0;3,0084
7661;CA-2011-105417;07/01/2023;VS-21820;Vivek Sundaresam;United States;Huntsville;Texas;77340;Central;FUR-FU-10004864;Furniture;Furnishings;"Howard Miller 14-1/2"" Diameter Chrome Round Wall Clock";76,728;3;0,6;-53,7096
